State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Alabama,26.53,Bajaj,R15 V4,393179,2016,912,Electric,99.42,Second,2022,Not Available,Dealer,280531.42,South Cheryl
Washington,43.72,KTM,Dio,175854,2023,374,Electric,75.31,Second,2019,Not Available,Dealer,102768.97,New Kaitlyn
Arkansas,71.16,Kawasaki,Activa,351331,2023,890,Hybrid,79.19,Third,2024,Not Available,Dealer,209502.63,New Jordanborough
Virginia,33.03,Bajaj,HF Deluxe,342032,2016,843,Petrol,35.13,Third,2020,Expired,Dealer,209708.27,East Jessica
Arkansas,38.0,Kawasaki,Apache RTR 160,201761,2019,986,Petrol,31.71,First,2018,Expired,Dealer,179439.03,New April
Michigan,11.33,Hero,Glamour,370107,2015,394,Petrol,57.66,First,2015,Not Available,Individual,240318.94,South Paulberg
Rhode Island,76.93,Royal Enfield,Xtreme 160R,399192,2022,637,Hybrid,44.22,First,2018,Not Available,Individual,287809.73,Cruzfort
Louisiana,78.5,Honda,Himalayan,121739,2021,342,Petrol,56.99,Third,2024,Expired,Dealer,105792.29,New Ronaldborough
Ohio,11.15,Bajaj,Classic 350,184672,2024,693,Electric,57.51,Third,2019,Expired,Individual,145377.05,South Amberville
South Carolina,58.64,KTM,Splendor Plus,311970,2016,437,Petrol,64.94,Second,2020,Not Available,Dealer,196216.14,Lake Leroyport
Arizona,44.5,Royal Enfield,Classic 350,256258,2021,589,Petrol,66.61,Second,2021,Expired,Individual,183684.6,Lake Cynthiastad
Virginia,29.34,Kawasaki,390 Adventure,256751,2020,844,Petrol,39.19,Third,2023,Active,Dealer,161356.48,Zimmermanton
Kansas,20.48,KTM,Sport,132860,2023,885,Electric,70.74,First,2023,Active,Individual,62859.6,Markberg
Rhode Island,78.02,Honda,Ray ZR,177660,2020,387,Hybrid,70.2,Third,2022,Active,Dealer,156016.15,Lake Katherinefurt
New York,10.84,Honda,Himalayan,309980,2015,414,Petrol,35.69,Second,2024,Active,Individual,191750.78,North Michaelfort
Georgia,7.0,Kawasaki,CT 100,91223,2017,830,Electric,87.75,Second,2024,Not Available,Dealer,62075.4,South Carolyn
Maryland,53.37,Royal Enfield,Passion Pro,383124,2022,646,Hybrid,59.19,First,2022,Not Available,Dealer,246064.74,Lake Valeriemouth
Wisconsin,70.21,Royal Enfield,NTorq 125,166869,2020,504,Petrol,49.61,Third,2021,Expired,Individual,124212.35,South Ryan
New Mexico,56.67,Bajaj,Passion Pro,352201,2022,548,Petrol,83.61,Second,2021,Active,Individual,186133.42,East Bradleyfurt
Maryland,45.54,Royal Enfield,Avenger 220,88733,2017,720,Hybrid,42.16,Second,2018,Active,Dealer,104121.87,Michelleview
Nebraska,50.84,Honda,Ray ZR,120050,2022,481,Hybrid,67.87,Second,2020,Not Available,Individual,70789.97,Craigport
Tennessee,45.23,Yamaha,Ray ZR,84222,2022,749,Electric,48.35,Second,2023,Not Available,Dealer,48998.41,New Johnborough
Louisiana,42.06,Hero,Apache RTR 160,340161,2015,832,Hybrid,82.65,Second,2021,Active,Dealer,234903.98,Bookerland
Connecticut,12.12,Hero,Interceptor 650,83800,2017,424,Hybrid,58.49,First,2017,Not Available,Individual,39565.94,East Joshua
Georgia,34.26,Honda,390 Adventure,227218,2022,916,Electric,94.4,Third,2022,Not Available,Dealer,138894.94,East Michaelfurt
Nebraska,67.91,Honda,Ninja 400,296509,2021,444,Hybrid,60.38,Second,2015,Not Available,Individual,169078.89,West Amandachester
Nebraska,25.33,Royal Enfield,Meteor 350,276621,2016,797,Petrol,33.84,First,2022,Active,Dealer,139275.57,New Kelly
Utah,5.77,KTM,Unicorn,260579,2022,570,Electric,87.92,Third,2021,Not Available,Dealer,116816.04,Port Lorraine
Pennsylvania,39.58,TVS,Fascino 125,216019,2021,104,Hybrid,92.56,Second,2016,Active,Dealer,118585.68,Marthatown
Pennsylvania,77.84,Kawasaki,125 Duke,262345,2018,285,Petrol,64.32,First,2016,Not Available,Individual,138536.85,South Timothy
Utah,74.82,Hero,Xtreme 160R,78268,2016,888,Petrol,49.87,First,2018,Not Available,Individual,43248.65,East Alexandrialand
Connecticut,56.44,KTM,Jupiter,292842,2017,308,Electric,78.46,First,2020,Expired,Dealer,162471.78,Racheltown
North Carolina,14.69,Royal Enfield,Meteor 350,182178,2023,259,Petrol,78.86,First,2022,Active,Individual,122409.97,South Patricia
Montana,73.48,Kawasaki,HF Deluxe,387466,2024,474,Petrol,52.98,First,2022,Expired,Individual,273473.01,Paulville
Maine,66.7,Bajaj,Xtreme 160R,153302,2021,264,Electric,85.7,First,2019,Not Available,Dealer,54248.14,North Robertachester
Nevada,14.47,TVS,Ninja 300,206064,2016,762,Electric,67.36,First,2019,Not Available,Individual,124803.99,Mitchellborough
Ohio,61.27,KTM,Classic 350,395427,2024,698,Petrol,56.6,Third,2023,Active,Individual,263372.72,New Samanthaborough
Wisconsin,76.45,Yamaha,FZ V3,293213,2017,235,Hybrid,79.78,Third,2024,Active,Dealer,117968.41,Gutierrezfurt
Alaska,40.31,Honda,Dominar 400,316542,2024,982,Hybrid,70.65,Third,2015,Expired,Individual,221772.21,Staffordmouth
Rhode Island,42.48,Kawasaki,RC 390,215790,2022,823,Electric,99.38,First,2019,Not Available,Individual,148919.9,Lake Janettown
West Virginia,41.94,Kawasaki,Ray ZR,347562,2015,282,Electric,94.55,Second,2015,Not Available,Individual,150290.81,Rachelmouth
Missouri,54.08,Kawasaki,CT 100,196587,2022,689,Petrol,45.65,Second,2021,Not Available,Individual,137824.53,Bellburgh
Alabama,65.76,Royal Enfield,CT 100,278755,2022,674,Electric,91.75,First,2016,Not Available,Individual,200895.11,Stephensfort
Virginia,26.47,Hero,Dominar 400,175669,2015,191,Electric,79.86,Second,2024,Not Available,Dealer,104745.59,North Markberg
Pennsylvania,45.97,TVS,Z650,258734,2022,150,Electric,87.47,First,2022,Not Available,Dealer,125249.38,Kempshire
North Dakota,5.51,Yamaha,Glamour,54888,2015,998,Hybrid,78.46,Third,2024,Expired,Individual,42193.08,Tiffanybury
Wisconsin,36.55,Bajaj,Fascino 125,198009,2018,443,Electric,77.68,Second,2024,Not Available,Dealer,87071.93,Port Stephanieton
South Dakota,45.34,Yamaha,Unicorn,194411,2019,718,Hybrid,52.92,Third,2023,Expired,Individual,158464.25,Hesterville
Rhode Island,79.99,Yamaha,Passion Pro,309357,2016,439,Electric,71.56,Third,2020,Expired,Individual,159638.25,West Nicolefurt
Maryland,37.7,Honda,Passion Pro,216116,2015,670,Hybrid,39.7,First,2019,Active,Dealer,137260.92,Port Brenda
Oklahoma,58.91,Bajaj,R15 V4,85350,2022,290,Petrol,36.06,First,2023,Not Available,Dealer,35804.22,Aprilview
Washington,33.68,Kawasaki,390 Adventure,152174,2021,384,Hybrid,94.22,Second,2024,Expired,Individual,114921.06,North Nicoleshire
Missouri,79.74,KTM,Shine,61047,2019,662,Electric,87.55,Second,2020,Expired,Dealer,31342.84,East Jermaine
Indiana,22.91,Bajaj,Avenger 220,69129,2021,761,Electric,99.9,Third,2020,Expired,Dealer,55711.92,Wandamouth
South Carolina,9.08,TVS,Vulcan S,343237,2019,380,Hybrid,27.77,Second,2022,Expired,Individual,258134.88,North Kimberlyside
Nebraska,65.99,TVS,R15 V4,229747,2017,635,Hybrid,71.14,First,2021,Active,Dealer,98396.27,Stephenchester
Alabama,27.57,Kawasaki,Pulsar 150,173838,2015,217,Electric,96.86,Third,2015,Expired,Dealer,82662.22,Stephenshire
Ohio,53.27,Yamaha,390 Adventure,159463,2016,204,Petrol,59.29,First,2024,Active,Individual,120282.4,Ethanstad
Maine,11.93,Royal Enfield,Dio,332924,2016,516,Petrol,57.33,First,2019,Active,Individual,181865.17,South Lee
Virginia,26.64,KTM,Glamour,261710,2017,353,Electric,91.01,Second,2019,Expired,Dealer,103683.49,Brianmouth
Florida,49.44,TVS,Dominar 400,261507,2022,291,Electric,53.93,Second,2023,Expired,Dealer,100245.46,Port Rose
Alaska,25.7,Hero,Sport,249128,2023,861,Hybrid,82.86,Second,2023,Active,Individual,97704.0,Lake Robertmouth
South Carolina,77.48,Yamaha,Ninja 400,203617,2023,434,Electric,81.48,First,2017,Active,Individual,160539.56,Port Brandonbury
Washington,53.1,Hero,Unicorn,335052,2015,372,Electric,87.62,First,2024,Expired,Individual,185864.73,Hodgesborough
Idaho,37.48,TVS,HF Deluxe,384986,2018,293,Electric,60.54,Second,2023,Active,Individual,228080.81,Stephanieton
Arkansas,47.69,Hero,CBR 650R,109596,2023,846,Hybrid,43.18,Second,2024,Expired,Individual,62025.02,Lynnville
Connecticut,20.58,Bajaj,Himalayan,243983,2021,634,Petrol,37.32,Second,2023,Not Available,Individual,155744.43,Kimberlymouth
South Dakota,16.14,Kawasaki,Ninja 400,107325,2018,267,Petrol,47.07,Third,2023,Not Available,Dealer,92179.97,New Christopherview
Oklahoma,5.44,Royal Enfield,Unicorn,102373,2017,491,Hybrid,57.92,Third,2016,Active,Individual,38902.43,Lake Brian
Illinois,75.43,Yamaha,Interceptor 650,275357,2021,722,Hybrid,46.45,Second,2024,Active,Individual,104595.64,New Michaelland
Wyoming,40.3,Yamaha,RC 390,94372,2024,545,Petrol,28.96,First,2016,Not Available,Individual,68624.66,Lake Wendyfort
Illinois,17.14,Yamaha,Avenger 220,81386,2016,535,Electric,93.88,First,2022,Active,Dealer,62188.18,Lake Edwardport
Wyoming,52.66,Yamaha,Shine,221639,2019,252,Hybrid,31.38,First,2024,Not Available,Individual,108859.74,Latoyafort
Maine,7.59,TVS,Pulsar 150,278820,2015,226,Hybrid,75.71,First,2024,Not Available,Individual,128257.64,North Devon
Colorado,12.02,Hero,Dominar 400,63684,2021,996,Petrol,34.93,First,2015,Not Available,Individual,31059.27,New Kristen
Utah,7.74,Royal Enfield,R15 V4,345422,2020,560,Petrol,28.54,Third,2021,Expired,Dealer,176563.51,Graymouth
North Carolina,58.64,KTM,Unicorn,341732,2019,710,Hybrid,84.09,Third,2020,Active,Dealer,178042.23,West Johnville
Idaho,28.13,KTM,Z650,338501,2020,648,Hybrid,37.63,Second,2021,Active,Individual,186327.15,New Joshuachester
Ohio,48.55,Honda,Splendor Plus,196226,2017,204,Electric,77.11,Second,2021,Not Available,Dealer,94240.46,Campbellmouth
Louisiana,60.53,Kawasaki,390 Adventure,198718,2023,347,Petrol,88.89,First,2024,Not Available,Individual,149150.18,South Robert
Alabama,18.02,Hero,Ninja 400,276117,2017,114,Hybrid,82.93,First,2022,Not Available,Dealer,106481.12,Hernandezmouth
New Jersey,42.72,Bajaj,Jupiter,223337,2020,587,Hybrid,81.92,Second,2023,Active,Dealer,108622.62,West Daniel
Tennessee,10.31,Kawasaki,Unicorn,136209,2018,968,Petrol,70.24,First,2020,Not Available,Dealer,56619.75,Lake Jennifer
Colorado,77.15,Bajaj,NTorq 125,107425,2017,763,Petrol,69.27,First,2017,Not Available,Individual,99622.79,New Jay
Arizona,9.63,KTM,Apache RTR 160,304462,2020,159,Electric,77.58,Second,2023,Not Available,Dealer,183023.38,South Brett
Minnesota,30.64,Honda,Versys 650,214690,2016,424,Petrol,44.52,First,2019,Active,Dealer,145977.38,Sabrinafort
Utah,7.5,Kawasaki,Xtreme 160R,141491,2015,958,Petrol,40.79,Second,2021,Active,Dealer,60836.82,Susanmouth
Mississippi,40.29,Hero,NTorq 125,68337,2015,140,Electric,79.88,Second,2024,Active,Individual,34414.05,Sextonborough
Arkansas,72.89,Yamaha,Hunter 350,267309,2018,966,Electric,40.3,First,2020,Expired,Dealer,121087.8,West Brentstad
Wisconsin,13.37,Bajaj,Avenger 220,313524,2020,228,Petrol,53.43,Second,2021,Active,Individual,150911.47,Gallagherhaven
Delaware,7.04,Bajaj,Duke 200,298876,2022,650,Hybrid,91.93,Second,2023,Expired,Dealer,172975.8,Lake Lindamouth
North Dakota,66.09,Royal Enfield,Passion Pro,364227,2018,144,Hybrid,84.4,Third,2017,Active,Dealer,218170.1,Johnsonmouth
Nevada,71.19,Yamaha,125 Duke,236481,2023,886,Hybrid,56.56,Third,2024,Not Available,Individual,179237.31,Wangmouth
Oregon,18.93,Hero,CBR 650R,199807,2020,875,Hybrid,58.01,Third,2019,Not Available,Individual,126324.9,Jenniferfurt
Arizona,29.51,Kawasaki,Shine,87257,2021,109,Petrol,59.32,Second,2018,Expired,Dealer,29592.48,Aliciaport
West Virginia,62.85,Royal Enfield,Splendor Plus,261835,2015,547,Electric,86.99,First,2022,Active,Dealer,239432.86,Nguyenbury
New York,64.42,Yamaha,Dominar 400,323155,2020,193,Hybrid,95.58,Second,2024,Expired,Individual,220531.1,New Mario
Georgia,20.34,Hero,Duke 200,68265,2015,134,Hybrid,47.56,Second,2015,Expired,Individual,59017.62,Javierberg
Hawaii,25.78,Honda,Shine,286635,2022,496,Petrol,40.58,Second,2019,Not Available,Individual,197622.49,Simmonshaven
Alaska,27.38,Yamaha,Ray ZR,393581,2015,449,Hybrid,82.62,Third,2022,Expired,Dealer,267937.47,Johnmouth
Oklahoma,79.61,KTM,RC 390,348103,2023,798,Electric,93.91,First,2017,Active,Individual,210639.7,Rodneyville
Nevada,73.91,Yamaha,Apache RTR 160,319624,2017,705,Petrol,39.36,First,2017,Expired,Individual,143859.48,Morganport
Georgia,71.95,Kawasaki,CBR 650R,55528,2020,861,Petrol,48.62,Third,2017,Not Available,Individual,27986.53,North Kelly
Texas,23.9,Yamaha,Meteor 350,135313,2022,812,Hybrid,29.96,Third,2015,Expired,Individual,66147.57,Howardport
New York,69.79,Royal Enfield,Meteor 350,348007,2016,259,Petrol,46.63,First,2024,Active,Individual,173875.09,New Rachelhaven
Maine,78.18,Royal Enfield,Avenger 220,129222,2019,972,Electric,39.63,Third,2022,Active,Dealer,63444.57,East Danielle
Arizona,20.07,TVS,MT-15,365154,2019,481,Petrol,30.23,Second,2022,Active,Individual,210813.83,Port Jeremy
Kentucky,31.74,KTM,Shine,202988,2017,516,Hybrid,92.66,Second,2022,Expired,Dealer,84102.74,Huffmanbury
California,44.26,TVS,HF Deluxe,294346,2023,357,Hybrid,84.1,First,2021,Expired,Dealer,158065.46,Lake Stephaniehaven
Kansas,60.91,Hero,Hunter 350,352176,2022,793,Hybrid,96.43,First,2018,Expired,Dealer,258009.51,South Sara
North Carolina,64.23,Honda,Sport,224384,2019,746,Electric,91.97,Second,2017,Expired,Individual,104275.81,East David
Oklahoma,66.27,KTM,Z650,285842,2016,219,Hybrid,76.88,First,2018,Not Available,Dealer,100541.69,Cynthiaberg
West Virginia,48.98,Honda,NTorq 125,109844,2016,139,Electric,85.55,Second,2018,Expired,Dealer,61993.54,Danielside
New York,73.49,TVS,Dio,204898,2015,276,Electric,49.72,First,2022,Expired,Individual,146595.47,Websterstad
Tennessee,67.92,KTM,Platina 110,222000,2024,639,Petrol,41.54,First,2024,Not Available,Dealer,185284.19,Brucebury
Arizona,9.52,Yamaha,Duke 200,165718,2017,545,Hybrid,65.28,Third,2024,Not Available,Individual,100828.57,West Howardborough
Maryland,55.97,KTM,Vulcan S,178912,2024,892,Hybrid,71.37,First,2019,Expired,Dealer,135742.73,Port Kevinbury
Oregon,25.35,Yamaha,Jupiter,378686,2019,180,Electric,91.64,Second,2016,Not Available,Individual,225277.84,Kennedychester
Oklahoma,18.72,Honda,Sport,183766,2017,685,Petrol,30.43,Second,2022,Expired,Individual,96594.07,New Jodimouth
Michigan,7.59,Yamaha,Platina 110,190101,2021,348,Petrol,94.87,First,2024,Expired,Dealer,115007.1,West Steven
Florida,22.59,Hero,RC 390,126174,2020,772,Petrol,58.64,Second,2018,Expired,Individual,126708.68,Lake Erintown
Delaware,49.31,Yamaha,Jupiter,262858,2022,881,Petrol,92.96,First,2022,Expired,Individual,232401.7,Jacobfort
Pennsylvania,14.07,KTM,Versys 650,273989,2018,843,Petrol,43.61,First,2021,Expired,Dealer,178858.93,New Karen
New York,78.14,Bajaj,Splendor Plus,294375,2017,950,Electric,76.03,Third,2020,Active,Dealer,138093.15,New Melissafurt
Michigan,41.26,Honda,Classic 350,399897,2023,957,Petrol,26.34,Second,2024,Not Available,Dealer,294805.56,Christopherbury
Hawaii,30.39,Kawasaki,Hunter 350,82687,2023,416,Hybrid,81.18,First,2018,Expired,Individual,64349.49,East Rhondatown
California,68.85,TVS,250 Duke,275686,2015,881,Electric,67.13,First,2024,Active,Dealer,188038.36,West Samuelstad
Kansas,74.01,Royal Enfield,Duke 200,301789,2023,702,Electric,84.97,Third,2016,Expired,Individual,192738.97,West Scottton
Virginia,12.23,Honda,Dominar 400,64746,2015,996,Hybrid,45.57,Third,2020,Not Available,Dealer,43889.29,Port Allisonmouth
Kentucky,9.22,Hero,Duke 200,240723,2021,946,Hybrid,84.72,First,2023,Expired,Dealer,140468.58,Johnsonport
Vermont,20.54,KTM,Ninja 400,146106,2017,613,Electric,69.85,Third,2018,Active,Individual,63924.97,Mccarthychester
New Mexico,64.63,Yamaha,Fascino 125,281773,2017,806,Petrol,90.68,First,2022,Not Available,Individual,198979.14,East Jennifer
Tennessee,11.22,TVS,390 Adventure,374814,2017,584,Electric,98.45,First,2019,Expired,Dealer,171921.99,East Adam
North Dakota,28.31,Honda,Hunter 350,337223,2023,753,Petrol,57.03,Third,2020,Not Available,Individual,178770.06,Arnoldport
Idaho,40.94,Kawasaki,Dio,191135,2024,325,Petrol,40.24,First,2023,Active,Individual,99935.45,East Sarahhaven
Kansas,58.49,Kawasaki,CT 100,247659,2020,115,Petrol,40.36,Second,2015,Expired,Dealer,81522.02,South Johnton
Massachusetts,26.42,TVS,R15 V4,212590,2017,621,Petrol,50.93,First,2023,Expired,Individual,92122.39,West Herbertshire
Tennessee,5.93,Hero,FZ V3,283826,2023,418,Hybrid,94.52,Second,2018,Active,Individual,128347.95,Davidborough
Maryland,15.66,Kawasaki,Meteor 350,125712,2021,285,Hybrid,30.26,Second,2015,Expired,Dealer,50592.74,Pamelaburgh
California,12.8,Royal Enfield,NTorq 125,201514,2018,222,Petrol,87.25,Second,2024,Expired,Dealer,144951.42,Martinezmouth
Iowa,5.02,Yamaha,CBR 650R,66365,2021,203,Petrol,84.97,First,2015,Active,Individual,71519.99,East Jasonstad
New Hampshire,54.93,Bajaj,Interceptor 650,341557,2021,545,Petrol,29.79,Second,2023,Expired,Individual,202264.09,East Brittany
New York,75.97,TVS,250 Duke,120825,2017,417,Hybrid,32.42,First,2024,Active,Dealer,112692.22,Hollowaybury
Rhode Island,29.3,KTM,Activa,168515,2016,579,Electric,96.92,Second,2022,Active,Individual,125706.36,Port Timothy
Virginia,79.18,KTM,Sport,94506,2018,528,Petrol,27.79,Third,2018,Active,Individual,43943.64,Chavezland
Montana,9.45,Yamaha,RC 390,389498,2018,644,Electric,91.12,Second,2022,Active,Individual,239467.86,South Williamshire
Rhode Island,63.32,Hero,RC 390,151739,2015,321,Hybrid,45.85,Third,2024,Expired,Dealer,69050.44,Port Spencerfurt
Washington,71.23,Kawasaki,HF Deluxe,284690,2021,470,Petrol,45.13,First,2018,Expired,Dealer,157921.28,New Gerald
Iowa,27.58,Royal Enfield,CBR 650R,368116,2015,786,Electric,62.39,Second,2024,Expired,Individual,178508.96,Tonyfurt
Arizona,34.66,Honda,Vulcan S,101668,2015,101,Electric,70.67,First,2024,Expired,Dealer,69608.65,Coxview
Colorado,42.92,Hero,Ninja 400,166660,2019,239,Petrol,26.86,First,2019,Expired,Individual,108073.87,Port Justinborough
Georgia,17.11,Hero,Jupiter,379724,2018,958,Electric,81.27,First,2015,Expired,Individual,237466.12,Port James
Wisconsin,57.41,Kawasaki,Ray ZR,277373,2023,981,Electric,94.18,Third,2023,Active,Individual,159417.08,East Christopher
North Dakota,66.86,Kawasaki,Pulsar 150,274539,2022,340,Electric,92.12,Third,2017,Not Available,Individual,143148.63,South Dustin
Indiana,16.31,Yamaha,RC 390,204015,2020,545,Hybrid,39.91,First,2022,Expired,Dealer,164486.04,Michaelport
Florida,14.47,Honda,Meteor 350,296546,2024,287,Electric,43.43,First,2022,Expired,Dealer,122903.01,North Richardmouth
Montana,68.65,TVS,Dominar 400,227062,2023,932,Electric,87.91,Third,2023,Expired,Individual,157677.77,Lake Kristinhaven
Indiana,14.4,Bajaj,Apache RTR 160,314654,2020,766,Petrol,26.1,Second,2018,Expired,Dealer,217966.86,Copelandburgh
Mississippi,9.15,Honda,MT-15,159703,2018,163,Hybrid,83.8,Third,2023,Not Available,Dealer,118459.04,New Amy
Arizona,34.87,Royal Enfield,Sport,286094,2021,169,Electric,99.88,First,2021,Not Available,Individual,103139.65,Lake Gary
Vermont,41.04,Kawasaki,Shine,211513,2023,352,Hybrid,64.63,First,2024,Active,Individual,131375.78,Port Sharon
North Carolina,29.93,Honda,Glamour,241690,2022,455,Petrol,50.6,First,2018,Active,Individual,87087.96,East Tamara
Hawaii,36.03,KTM,NTorq 125,207946,2015,710,Electric,89.43,Third,2019,Active,Individual,154225.37,South Charles
Montana,74.52,Royal Enfield,Glamour,180498,2019,333,Hybrid,74.23,Second,2022,Active,Dealer,143441.25,New Jennifer
Minnesota,11.82,Royal Enfield,Hunter 350,117496,2018,482,Electric,96.55,Second,2019,Active,Dealer,65665.81,Schmidtshire
Minnesota,6.45,Yamaha,Himalayan,134746,2019,743,Petrol,44.63,First,2022,Active,Dealer,65423.89,New Jameston
Massachusetts,63.91,KTM,Ronin,292470,2019,102,Electric,94.38,First,2020,Active,Dealer,144410.15,Knightstad
California,57.43,TVS,Activa,184601,2017,661,Hybrid,48.41,Second,2023,Expired,Dealer,95825.05,Lake Deborah
Kentucky,49.85,Bajaj,Duke 200,181761,2021,462,Petrol,57.91,Third,2024,Not Available,Individual,100391.7,Lake Rhonda
Utah,31.46,KTM,Jupiter,262060,2015,781,Hybrid,74.14,Second,2023,Expired,Dealer,102633.4,Port David
Idaho,52.44,Hero,Meteor 350,268099,2016,102,Electric,92.45,Third,2020,Active,Individual,191473.69,West Williamside
Pennsylvania,48.98,Honda,Platina 110,86627,2019,848,Electric,56.95,First,2015,Expired,Individual,54278.0,West Jerryville
Wisconsin,33.33,Kawasaki,CT 100,329552,2015,649,Electric,85.24,Second,2017,Not Available,Dealer,142713.66,Briggstown
Wisconsin,8.01,Kawasaki,CT 100,118575,2016,436,Hybrid,76.07,Third,2021,Expired,Individual,41967.37,Lake Shelby
Kentucky,34.27,Bajaj,Pulsar 150,297188,2020,763,Petrol,77.45,Third,2024,Expired,Dealer,126472.67,New Josephville
Rhode Island,52.89,Kawasaki,Ronin,203279,2023,396,Hybrid,60.43,First,2020,Active,Dealer,136850.15,West Jenniferbury
Delaware,40.12,Yamaha,CT 100,107393,2020,722,Hybrid,46.99,First,2024,Not Available,Dealer,62576.5,Birdside
Virginia,32.61,Kawasaki,Activa,237126,2020,543,Electric,94.04,First,2021,Not Available,Dealer,105132.93,North Jacob
New Hampshire,66.34,KTM,Fascino 125,182421,2022,561,Electric,90.14,First,2024,Expired,Dealer,117560.54,Jasonfurt
New Hampshire,51.16,Yamaha,390 Adventure,269283,2022,787,Electric,88.97,Second,2021,Active,Dealer,159547.73,North Timothy
Wyoming,63.89,Honda,Passion Pro,128608,2022,648,Petrol,27.17,First,2022,Active,Dealer,34029.96,Christophertown
Iowa,59.5,KTM,Dominar 400,264767,2020,236,Electric,85.48,Second,2023,Expired,Individual,110356.35,Port John
Louisiana,17.27,Royal Enfield,Unicorn,211796,2018,869,Hybrid,69.44,Third,2023,Not Available,Individual,168833.95,Vasquezmouth
North Dakota,26.85,Yamaha,Xtreme 160R,67751,2016,764,Electric,95.81,Second,2024,Expired,Dealer,64206.2,East Joseph
Wisconsin,57.92,TVS,RC 390,129142,2020,999,Hybrid,36.09,Third,2019,Not Available,Individual,153111.53,Port Joy
Louisiana,44.09,Kawasaki,Unicorn,272733,2022,647,Petrol,44.55,Second,2024,Not Available,Individual,117895.85,Reginaside
Pennsylvania,10.64,KTM,MT-15,337705,2017,800,Petrol,27.92,First,2020,Not Available,Dealer,190077.85,Port Troyhaven
Minnesota,32.55,KTM,RC 390,118257,2016,628,Petrol,48.56,Second,2020,Expired,Individual,102646.46,Mackchester
Wyoming,15.94,Royal Enfield,Dominar 400,317428,2018,810,Hybrid,28.76,Second,2018,Not Available,Individual,268488.48,Robertshire
Pennsylvania,47.02,TVS,Ray ZR,192203,2016,820,Electric,96.41,Second,2020,Expired,Individual,100626.45,Lucasborough
Nebraska,41.48,Royal Enfield,MT-15,209947,2017,716,Electric,79.46,First,2021,Not Available,Individual,75509.59,South Kevin
Michigan,23.44,Hero,Fascino 125,309661,2015,620,Electric,76.67,First,2018,Expired,Dealer,161735.66,Lorrainetown
South Dakota,11.56,TVS,Interceptor 650,195269,2022,933,Electric,90.61,Second,2023,Expired,Dealer,117731.32,Stevensmouth
Washington,45.19,Honda,Ronin,120241,2024,648,Petrol,43.02,Third,2022,Active,Dealer,78244.47,Robertsport
South Carolina,79.32,Kawasaki,NTorq 125,98765,2021,653,Electric,74.72,Second,2024,Not Available,Dealer,84941.07,Hallmouth
Nebraska,23.63,Honda,MT-15,147296,2017,483,Hybrid,57.8,Third,2024,Expired,Individual,120395.42,North Jeffrey
South Carolina,40.62,Honda,Activa,65624,2024,293,Petrol,25.07,First,2018,Active,Individual,39918.69,Davidstad
Louisiana,10.84,Kawasaki,CT 100,139576,2022,933,Petrol,33.16,Second,2024,Not Available,Dealer,88386.31,Lake Kari
Minnesota,20.28,Yamaha,Vulcan S,389441,2022,625,Petrol,38.76,Third,2018,Expired,Individual,273020.73,North Melanieland
Montana,8.0,Hero,Ronin,66432,2021,350,Electric,94.54,First,2021,Active,Dealer,26625.42,East Ruth
South Carolina,63.64,TVS,Meteor 350,163968,2024,959,Petrol,92.14,First,2017,Active,Individual,116325.75,Johnsonshire
Nebraska,36.14,Hero,Glamour,376817,2024,203,Petrol,74.62,Third,2023,Expired,Individual,265820.18,Lake James
Tennessee,23.94,Honda,Versys 650,119912,2022,634,Hybrid,70.61,First,2018,Expired,Individual,64057.94,Bennettberg
New Mexico,21.64,Bajaj,Fascino 125,87922,2018,682,Petrol,46.08,Second,2023,Expired,Individual,49701.9,West Caleb
Pennsylvania,47.6,Bajaj,Hunter 350,89093,2018,330,Electric,48.56,First,2021,Active,Dealer,40920.12,Lake Kimberly
West Virginia,48.49,Yamaha,250 Duke,115926,2020,216,Hybrid,65.18,Third,2020,Active,Dealer,60942.79,East Erictown
Ohio,63.31,Yamaha,Avenger 220,182139,2021,648,Hybrid,47.43,First,2022,Active,Dealer,100964.94,North Richardburgh
Connecticut,41.75,Royal Enfield,Duke 200,316829,2015,250,Electric,98.79,Second,2022,Expired,Dealer,157977.98,Reyesmouth
Indiana,7.72,Royal Enfield,Versys 650,116648,2016,362,Hybrid,36.49,First,2017,Active,Individual,116544.23,Bakerstad
Minnesota,48.52,Honda,Apache RTR 160,100029,2022,944,Petrol,81.18,Third,2024,Active,Dealer,59101.18,North Amychester
Arizona,14.84,KTM,250 Duke,227792,2017,365,Hybrid,60.68,Third,2016,Not Available,Individual,142055.72,Hurststad
Maryland,77.08,Bajaj,NTorq 125,226598,2016,814,Hybrid,93.2,First,2019,Not Available,Dealer,126033.01,New John
Oklahoma,42.67,Hero,Versys 650,314991,2015,306,Electric,85.42,Second,2018,Not Available,Dealer,108955.26,Port Scott
Washington,46.41,Yamaha,MT-15,329300,2024,589,Electric,88.19,Second,2024,Not Available,Dealer,160140.33,West Janicetown
Colorado,20.38,Royal Enfield,Sport,343347,2023,259,Petrol,45.4,Third,2021,Active,Individual,187165.81,Davismouth
